"","Region","nombre_region","provincia","Nombre_provincia","Comuna","nombre_comuna","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","a2019","a2020"
"232",9,"IX   Araucanía",91,"Cautín",9115,"Pucón",21881,22322,22761,23188,23616,24055,24490,24941,25393,25843,26297,26757,27221,27680,28146,28609,29072,29536,29991
"233",13,"Región Metropolitana",131,"Santiago",13124,"Pudahuel",202900,204934,206965,209052,211200,213469,215887,218403,220898,223378,225888,228366,230833,233252,235629,237938,240165,242328,244395
"234",13,"Región Metropolitana",132,"Cordillera",13201,"Puente Alto",511161,518350,525281,532215,539280,546609,554341,562333,570264,578226,586267,594244,602203,610118,617914,625553,633021,640317,647428
"235",10,"X  Los Lagos",101,"Llanquihue",10101,"Puerto Montt",182379,187468,192400,197234,201996,206801,213038,217680,222276,226543,230882,235166,239534,243825,248230,252542,256828,261117,265292
"236",10,"X  Los Lagos",103,"Osorno",10302,"Puerto Octay",10611,10585,10539,10479,10410,10324,10241,10164,10081,9988,9885,9784,9680,9574,9465,9360,9257,9146,9026
"237",10,"X  Los Lagos",101,"Llanquihue",10109,"Puerto Varas",34118,34776,35373,35935,36461,36965,37476,37994,38508,38985,39444,39875,40315,40756,41182,41617,42027,42423,42812
"238",6,"VI  O'Higgins",63,"Colchagua",6309,"Pumanque",3570,3566,3552,3543,3526,3519,3515,3502,3498,3497,3481,3480,3471,3470,3469,3452,3451,3442,3431
"239",4,"IV  Coquimbo",43,"Limarí",4304,"Punitaqui",9888,9959,10014,10075,10146,10205,10286,10363,10447,10528,10599,10674,10748,10805,10868,10923,10965,11016,11058
"240",12,"XII  Magallanes y la Antártica",121,"Magallanes",12101,"Punta Arenas",122041,122398,122776,123238,123828,124520,125302,126092,126849,127608,128245,128922,129555,128326,128810,129263,129702,130069,130422
"241",10,"X  Los Lagos",102,"Chiloé",10206,"Puqueldón",4310,4313,4300,4280,4276,4246,4220,4205,4170,4157,4124,4081,4053,4021,3986,3950,3912,3882,3837
"242",9,"IX   Araucanía",92,"Malleco",9208,"Purén",13334,13335,13325,13305,13285,13250,13228,13202,13168,13135,13094,13054,13020,12973,12926,12885,12822,12769,12710
"243",10,"X  Los Lagos",103,"Osorno",10303,"Purranque",21460,21571,21644,21684,21702,21702,21694,21698,21692,21659,21610,21550,21478,21417,21354,21282,21197,21098,21001
"244",5,"V  Valparaíso",57,"San Felipe de Aconcagua",5705,"Putaendo",15184,15299,15397,15494,15592,15677,15771,15866,15962,16057,16139,16225,16306,16391,16469,16533,16592,16648,16702
"245",15,"XV  Arica y Parinacota",152,"Parinacota",15201,"Putre",2035,2023,2016,2014,2018,2016,2023,2033,2042,2051,2057,2066,2073,2077,2084,2090,2090,2094,2095
"246",10,"X  Los Lagos",103,"Osorno",10304,"Puyehue",11793,11757,11719,11660,11599,11532,11472,11430,11371,11312,11244,11176,11109,11052,10988,10928,10864,10798,10734
"247",10,"X  Los Lagos",102,"Chiloé",10207,"Queilén",5323,5372,5414,5438,5462,5477,5496,5516,5525,5542,5548,5549,5551,5560,5549,5558,5548,5534,5531
"248",10,"X  Los Lagos",102,"Chiloé",10208,"Quellón",22627,23263,23874,24468,25048,25616,26473,27074,27680,28247,28817,29375,29951,30532,31122,31703,32294,32867,33445
"249",10,"X  Los Lagos",102,"Chiloé",10209,"Quemchi",9007,9060,9096,9130,9143,9144,9153,9161,9168,9162,9144,9133,9109,9091,9074,9048,9012,8979,8947
"250",8,"VIII  Biobío",83,"Biobío",8308,"Quilaco",4173,4166,4164,4163,4157,4155,4156,4146,4140,4130,4130,4120,4118,4103,4097,4080,4069,4053,4040
"251",13,"Región Metropolitana",131,"Santiago",13125,"Quilicura",131208,136077,141020,146120,151410,156949,162764,168858,175094,181544,188223,195079,202151,209417,216857,224468,232263,240200,248306
"252",8,"VIII  Biobío",83,"Biobío",8309,"Quilleco",10813,10763,10703,10653,10591,10534,10476,10417,10358,10299,10236,10163,10097,10033,9964,9889,9814,9737,9654
"253",8,"VIII  Biobío",84,"Ñuble",8413,"Quillón",15701,15802,15901,15991,16072,16175,16271,16354,16449,16541,16618,16682,16769,16840,16914,16976,17036,17089,17141
"254",5,"V  Valparaíso",55,"Quillota",5501,"Quillota",78678,79862,80990,82121,83225,84339,85476,86647,87818,88988,90169,91327,92482,93633,94749,95852,96948,98022,99063
"255",5,"V  Valparaíso",58,"Marga Marga",5801,"Quilpué",133257,135857,138399,140952,143504,146068,148713,151424,154162,156930,159705,162490,165284,168070,170853,173617,176377,179109,181831
"256",10,"X  Los Lagos",102,"Chiloé",10210,"Quinchao",9307,9319,9311,9307,9270,9250,9207,9183,9138,9100,9048,8992,8934,8881,8826,8759,8693,8625,8558
"257",6,"VI  O'Higgins",61,"Cachapoal",6114,"Quinta de  Tilcoco",11801,11932,12057,12166,12287,12393,12511,12626,12738,12855,12959,13050,13147,13241,13333,13408,13489,13541,13596
"258",13,"Región Metropolitana",131,"Santiago",13126,"Quinta Normal",107856,108252,108615,108987,109401,109872,110436,111066,111692,112326,112982,113641,114297,114958,115592,116217,116816,117377,117930
"259",5,"V  Valparaíso",51,"Valparaíso",5107,"Quintero",21947,22373,22793,23219,23633,24050,24485,24930,25387,25829,26296,26742,27213,27667,28124,28581,29035,29480,29931
"260",8,"VIII  Biobío",84,"Ñuble",8414,"Quirihue",11850,11983,12099,12224,12340,12466,12588,12712,12838,12959,13079,13193,13303,13419,13526,13645,13742,13847,13943
"261",6,"VI  O'Higgins",61,"Cachapoal",6101,"Rancagua",222336,223213,224073,224899,225620,226412,227303,228315,229312,230236,231040,231844,232639,233389,234048,234724,235222,235604,235849
"262",8,"VIII  Biobío",84,"Ñuble",8415,"Ránquil",5900,5899,5912,5917,5929,5938,5957,5962,5982,5994,6013,6032,6041,6049,6065,6078,6083,6099,6105
"263",7,"VII  Maule",73,"Curicó",7305,"Rauco",8884,8985,9076,9180,9261,9356,9459,9548,9639,9729,9815,9889,9970,10044,10115,10182,10250,10303,10358
"264",13,"Región Metropolitana",131,"Santiago",13127,"Recoleta",153708,154841,155870,156890,157926,159017,160200,161437,162638,163816,165003,166139,167258,168342,169372,170326,171223,172058,172820
"265",9,"IX   Araucanía",92,"Malleco",9209,"Renaico",9461,9555,9662,9749,9833,9924,10006,10092,10179,10256,10346,10427,10499,10582,10662,10738,10804,10873,10942
"266",13,"Región Metropolitana",131,"Santiago",13128,"Renca",138476,139482,140407,141306,142227,143198,144256,145358,146427,147466,148528,149542,150546,151500,152399,153266,154059,154791,155465
"267",6,"VI  O'Higgins",61,"Cachapoal",6115,"Rengo",52721,53415,54074,54718,55343,55971,56631,57311,57988,58629,59265,59877,60486,61102,61700,62284,62827,63348,63820
"268",6,"VI  O'Higgins",61,"Cachapoal",6116,"Requínoa",22985,23359,23731,24128,24544,24997,25512,26090,26719,27446,28231,29137,30184,31405,32827,34479,36414,38682,41359
"269",7,"VII  Maule",74,"Linares",7405,"Retiro",19165,19237,19316,19376,19427,19479,19532,19585,19617,19661,19675,19694,19704,19706,19696,19688,19660,19631,19574
"270",5,"V  Valparaíso",53,"Los Andes",5303,"Rinconada",6934,7176,7401,7637,7881,8127,8382,8652,8926,9209,9490,9783,10084,10396,10703,11028,11347,11681,12013
"271",14,"XIV  Los Ríos",142,"Ranco",14204,"Río Bueno",33823,33717,33606,33520,33455,33421,33399,33378,33355,33323,33276,33223,33166,33115,33069,33010,32931,32861,32781
"272",7,"VII  Maule",71,"Talca",7108,"Río Claro",13167,13217,13266,13295,13340,13368,13401,13431,13468,13483,13502,13509,13513,13509,13505,13497,13475,13448,13423
"273",4,"IV  Coquimbo",43,"Limarí",4305,"Río Hurtado",4939,4945,4955,4942,4950,4958,4956,4963,4986,4987,4989,4997,4994,4992,4997,4992,4977,4974,4957
"274",11,"XI Aysén",114,"General Carrera",11402,"Río Ibáñez",2549,2530,2523,2512,2498,2479,2465,2453,2441,2424,2409,2385,2367,2347,2331,2315,2281,2262,2240
"275",10,"X  Los Lagos",103,"Osorno",10305,"Río Negro",15270,15225,15145,15050,14935,14805,14682,14562,14437,14296,14147,13987,13826,13674,13517,13350,13195,13028,12855
"276",12,"XII  Magallanes y la Antártica",121,"Magallanes",12103,"Río Verde",360,339,317,289,264,246,227,216,196,177,161,143,134,754,760,764,763,768,770
"277",7,"VII  Maule",73,"Curicó",7306,"Romeral",13175,13347,13495,13655,13807,13963,14118,14280,14431,14575,14718,14846,14983,15112,15234,15351,15459,15559,15663
"278",9,"IX   Araucanía",91,"Cautín",9116,"Saavedra",14546,14451,14348,14225,14101,13984,13862,13744,13616,13486,13360,13238,13104,12977,12840,12706,12571,12425,12289
"279",7,"VII  Maule",73,"Curicó",7307,"Sagrada Familia",18160,18301,18431,18548,18667,18780,18904,19017,19121,19215,19313,19392,19467,19537,19596,19655,19696,19734,19751
"280",4,"IV  Coquimbo",42,"Choapa",4204,"Salamanca",25402,25519,25644,25769,25902,26063,26214,26391,26557,26726,26891,27034,27181,27298,27410,27511,27605,27671,27738
"281",5,"V  Valparaíso",56,"San Antonio",5601,"San Antonio",90386,90996,91537,92055,92554,93020,93509,94035,94524,95011,95487,95941,96360,96764,97136,97481,97780,98054,98299
"282",13,"Región Metropolitana",134,"Maipo",13401,"San Bernardo",255908,258963,261881,264780,267734,270812,274063,277433,280767,284090,287439,290741,294019,297262,300435,303520,306505,309391,312169
"283",8,"VIII  Biobío",84,"Ñuble",8416,"San Carlos",51944,51901,51888,51882,51927,51999,52095,52219,52357,52506,52646,52778,52923,53085,53249,53406,53548,53692,53815
"284",7,"VII  Maule",71,"Talca",7109,"San Clemente",38629,38812,39004,39216,39455,39677,39934,40202,40465,40703,40937,41151,41366,41556,41746,41916,42067,42202,42303
"285",5,"V  Valparaíso",53,"Los Andes",5304,"San Esteban",14930,15201,15461,15726,15982,16251,16513,16791,17073,17353,17634,17916,18201,18480,18765,19043,19320,19588,19859
"286",8,"VIII  Biobío",84,"Ñuble",8417,"San Fabián",3782,3795,3808,3826,3841,3864,3883,3909,3939,3959,3985,4013,4030,4044,4070,4094,4120,4135,4146
"287",5,"V  Valparaíso",57,"San Felipe de Aconcagua",5701,"San Felipe",66461,67096,67693,68265,68825,69386,69950,70530,71104,71687,72249,72793,73326,73842,74337,74812,75259,75696,76103
"288",6,"VI  O'Higgins",63,"Colchagua",6301,"San Fernando",66091,66773,67419,68031,68618,69206,69799,70420,71034,71594,72129,72622,73105,73586,74030,74435,74788,75092,75329
"289",12,"XII  Magallanes y la Antártica",121,"Magallanes",12104,"San Gregorio",1170,1133,1075,1013,925,840,744,633,550,475,422,377,342,600,621,639,657,681,701
"290",8,"VIII  Biobío",84,"Ñuble",8418,"San Ignacio",16702,16667,16626,16569,16526,16477,16433,16378,16332,16274,16221,16152,16080,16019,15943,15877,15789,15709,15611
"291",7,"VII  Maule",74,"Linares",7406,"San Javier",39170,39399,39591,39777,39951,40123,40293,40459,40618,40742,40859,40950,41032,41099,41157,41181,41197,41188,41156
"292",13,"Región Metropolitana",131,"Santiago",13129,"San Joaquín",101231,101397,101512,101625,101765,101956,102219,102532,102835,103132,103439,103742,104040,104327,104588,104837,105054,105256,105409
"293",13,"Región Metropolitana",132,"Cordillera",13203,"San José  de Maipo",13876,13964,14045,14125,14204,14286,14372,14467,14557,14658,14749,14840,14922,15003,15083,15147,15209,15274,15329
"294",10,"X  Los Lagos",103,"Osorno",10306,"San Juan de la Costa",9152,9055,8919,8798,8660,8531,8397,8268,8150,8033,7900,7773,7646,7525,7410,7298,7174,7056,6941
"295",13,"Región Metropolitana",131,"Santiago",13130,"San Miguel",81788,83717,85626,87570,89578,91645,93812,96069,98334,100641,102987,105379,107797,110237,112686,115158,117619,120099,122562
"296",8,"VIII  Biobío",84,"Ñuble",8419,"San Nicolás",10105,10209,10315,10414,10523,10623,10726,10842,10941,11046,11152,11248,11348,11451,11544,11636,11726,11816,11895
"297",10,"X  Los Lagos",103,"Osorno",10307,"San Pablo",10537,10576,10610,10629,10622,10616,10605,10604,10606,10598,10576,10536,10510,10490,10462,10430,10398,10356,10318
"298",13,"Región Metropolitana",135,"Melipilla",13505,"San Pedro",7831,7958,8084,8208,8338,8469,8610,8753,8894,9041,9185,9332,9476,9621,9765,9907,10051,10186,10323
"299",8,"VIII  Biobío",81,"Concepción",8108,"San Pedro de  la Paz",83400,86442,89548,92723,96030,99446,102980,106645,110411,114270,118234,122261,126416,130703,135093,139570,144156,148811,153562
"300",2,"II  Antofagasta",22,"El Loa",2203,"San Pedro de Atacama",5155,5304,5446,5597,5752,5914,6076,6257,6432,6621,6809,7010,7212,7418,7626,7840,8052,8256,8476
"301",7,"VII  Maule",71,"Talca",7110,"San Rafael",7953,8103,8235,8382,8527,8662,8809,8948,9095,9238,9371,9511,9652,9782,9908,10045,10171,10295,10412
"302",13,"Región Metropolitana",131,"Santiago",13131,"San Ramón",98422,98472,98468,98464,98488,98546,98674,98847,99009,99157,99318,99475,99615,99749,99860,99940,100002,100023,100025
"303",8,"VIII  Biobío",83,"Biobío",8310,"San Rosendo",4070,4053,4057,4039,4027,4028,4010,4003,3991,3984,3975,3967,3956,3936,3916,3897,3882,3868,3843
"304",6,"VI  O'Higgins",61,"Cachapoal",6117,"San Vicente",41745,42228,42659,43089,43494,43903,44314,44746,45173,45568,45946,46287,46643,46985,47317,47613,47873,48112,48318
"305",8,"VIII  Biobío",83,"Biobío",8311,"Santa Bárbara",13417,13399,13369,13334,13297,13266,13227,13192,13161,13123,13075,13035,12985,12929,12884,12825,12767,12695,12623
"306",6,"VI  O'Higgins",63,"Colchagua",6310,"Santa Cruz",33587,33956,34289,34613,34929,35233,35550,35879,36202,36499,36786,37045,37303,37563,37810,38028,38222,38387,38517
"307",8,"VIII  Biobío",81,"Concepción",8109,"Santa Juana",13185,13234,13292,13337,13385,13436,13485,13525,13569,13608,13637,13667,13687,13705,13725,13740,13742,13743,13728
"308",5,"V  Valparaíso",57,"San Felipe de Aconcagua",5706,"Santa María",13281,13476,13662,13840,14019,14197,14380,14573,14755,14940,15128,15308,15484,15665,15836,16005,16171,16334,16489
"309",13,"Región Metropolitana",131,"Santiago",13101,"Santiago",208197,217618,227253,237180,247433,258186,269447,281142,293196,305528,318253,331325,344711,358332,372330,386471,400869,415398,430114
"310",5,"V  Valparaíso",56,"San Antonio",5606,"Santo Domingo",7687,7813,7942,8062,8174,8295,8417,8545,8672,8805,8926,9049,9177,9299,9432,9552,9673,9789,9906
"311",2,"II  Antofagasta",21,"Antofagasta",2103,"Sierra Gorda",2453,2493,2527,2580,2624,2669,2724,2774,2825,2879,2927,2984,3040,3095,3151,3205,3258,3314,3359
"312",13,"Región Metropolitana",136,"Talagante",13601,"Talagante",62020,62671,63288,63900,64521,65172,65850,66571,67269,67973,68674,69367,70043,70720,71378,72006,72600,73185,73748
"313",7,"VII  Maule",71,"Talca",7101,"Talca",209135,211299,213357,215387,217377,219304,221290,223314,225183,226989,228735,230303,231860,233339,234760,236037,237283,238380,239317
"314",8,"VIII  Biobío",81,"Concepción",8110,"Talcahuano",169665,170457,171184,171850,172541,173255,173956,174666,175336,175992,176568,177069,177567,178052,178500,178890,179207,179474,179670
"315",2,"II  Antofagasta",21,"Antofagasta",2104,"Taltal",11519,11621,11733,11839,11943,12050,12169,12292,12423,12551,12676,12807,12937,13050,13174,13296,13396,13509,13601
"316",9,"IX   Araucanía",91,"Cautín",9101,"Temuco",254273,257230,259962,262672,265180,267798,270371,273016,275577,278097,280613,283083,285487,287850,290234,292534,294734,296889,298974
"317",7,"VII  Maule",73,"Curicó",7308,"Teno",26540,26733,26923,27096,27262,27424,27595,27760,27917,28059,28185,28302,28397,28504,28591,28661,28729,28781,28809
"318",9,"IX   Araucanía",91,"Cautín",9117,"Teodoro Schmidt",16072,16114,16142,16161,16164,16171,16174,16190,16186,16189,16184,16174,16167,16163,16147,16125,16096,16061,16028
"319",3,"III  Atacama",31,"Copiapó",3103,"Tierra Amarilla",13365,13575,13791,14035,14297,14585,14899,15220,15557,15883,16212,16546,16867,17194,17530,17857,18190,18500,18816
"320",13,"Región Metropolitana",133,"Chacabuco",13303,"Tiltil",15302,15471,15644,15793,15965,16129,16315,16496,16689,16873,17058,17243,17423,17599,17773,17940,18104,18251,18409
"321",12,"XII  Magallanes y la Antártica",123,"Tierra del Fuego",12303,"Timaukel",425,399,370,340,319,297,277,263,242,223,218,199,191,384,398,408,412,426,431
"322",8,"VIII  Biobío",82,"Arauco",8207,"Tirúa",10022,10064,10096,10144,10173,10209,10246,10289,10330,10350,10378,10409,10433,10458,10477,10495,10505,10527,10528
"323",2,"II  Antofagasta",23,"Tocopilla",2301,"Tocopilla",24866,25069,25258,25433,25617,25810,26020,26239,26471,26697,26931,27155,27378,27590,27807,27996,28180,28348,28507
"324",9,"IX   Araucanía",91,"Cautín",9118,"Toltén",11632,11639,11637,11622,11618,11597,11586,11573,11548,11532,11512,11479,11455,11423,11391,11357,11319,11274,11232
"325",8,"VIII  Biobío",81,"Concepción",8111,"Tomé",54364,54526,54663,54773,54900,55020,55146,55277,55392,55495,55579,55645,55693,55752,55788,55814,55810,55802,55760
"326",12,"XII  Magallanes y la Antártica",124,"Última Esperanza",12402,"Torres del Paine",748,742,742,745,743,748,743,741,738,734,742,737,732,739,735,734,724,728,722
"327",11,"XI Aysén",113,"Capitán Prat",11303,"Tortel",518,527,535,541,552,563,577,585,603,616,631,650,649,651,659,677,681,692,702
"328",9,"IX   Araucanía",92,"Malleco",9210,"Traiguén",20251,20259,20246,20229,20203,20169,20143,20116,20074,20034,19993,19936,19892,19835,19771,19707,19640,19567,19473
"329",8,"VIII  Biobío",84,"Ñuble",8420,"Treguaco",5492,5485,5477,5463,5455,5441,5429,5421,5407,5392,5382,5357,5346,5318,5295,5277,5257,5238,5212
"330",8,"VIII  Biobío",83,"Biobío",8312,"Tucapel",13254,13348,13439,13520,13616,13709,13794,13888,13978,14068,14148,14226,14300,14378,14457,14523,14582,14647,14700
"331",14,"XIV  Los Ríos",141,"Valdivia",14101,"Valdivia",145688,147018,148435,149894,151525,153250,155106,156953,158807,160663,162446,164231,166048,167861,169735,171527,173341,175090,176840
"332",3,"III  Atacama",33,"Huasco",3301,"Vallenar",49787,49836,49934,50067,50283,50574,50906,51261,51631,51964,52265,52551,52824,53087,53338,53550,53747,53907,54046
"333",5,"V  Valparaíso",51,"Valparaíso",5101,"Valparaíso",286054,287201,288111,288969,289751,290437,291146,291911,292713,293367,294023,294589,295075,295489,295731,295927,296004,296007,295916
"334",7,"VII  Maule",73,"Curicó",7309,"Vichuquén",5101,5104,5115,5129,5135,5144,5142,5144,5155,5166,5163,5153,5146,5134,5127,5118,5096,5085,5066
"335",9,"IX   Araucanía",92,"Malleco",9211,"Victoria",34725,34807,34868,34905,34933,34956,34977,34991,35001,35004,34993,34985,34968,34950,34911,34869,34814,34762,34674
"336",4,"IV  Coquimbo",41,"Elqui",4106,"Vicuña",24895,25010,25122,25244,25372,25512,25649,25825,25988,26153,26295,26432,26561,26669,26781,26874,26948,27015,27069
"337",9,"IX   Araucanía",91,"Cautín",9119,"Vilcún",23314,23669,24010,24350,24679,25011,25340,25685,26017,26346,26682,27006,27349,27671,27996,28326,28638,28947,29264
"338",7,"VII  Maule",74,"Linares",7407,"Villa Alegre",15263,15301,15332,15343,15371,15384,15398,15401,15411,15413,15405,15389,15369,15350,15306,15274,15232,15179,15119
"339",5,"V  Valparaíso",58,"Marga Marga",5804,"Villa Alemana",99101,101836,104554,107337,110139,112989,115929,118975,122074,125228,128448,131704,134999,138348,141729,145139,148580,152035,155527
"340",9,"IX   Araucanía",91,"Cautín",9120,"Villarrica",47190,47847,48477,49082,49671,50270,50867,51471,52072,52670,53265,53850,54427,55002,55582,56139,56689,57231,57753
"341",5,"V  Valparaíso",51,"Valparaíso",5109,"Viña del Mar",297349,299711,301844,303915,305920,307849,309856,311958,314011,316031,318009,319907,321760,323530,325195,326760,328241,329616,330898
"342",13,"Región Metropolitana",131,"Santiago",13132,"Vitacura",84469,84778,85040,85295,85554,85840,86173,86536,86860,87175,87500,87792,88065,88323,88548,88739,88892,89004,89085
"343",7,"VII  Maule",74,"Linares",7408,"Yerbas Buenas",16725,16869,17003,17135,17269,17390,17522,17635,17762,17880,17966,18068,18160,18239,18313,18383,18448,18498,18542
"344",8,"VIII  Biobío",83,"Biobío",8313,"Yumbel",21253,21309,21344,21375,21411,21442,21469,21505,21534,21553,21574,21580,21594,21596,21593,21587,21569,21553,21523
"345",8,"VIII  Biobío",84,"Ñuble",8421,"Yungay",17442,17517,17589,17650,17715,17791,17855,17917,17993,18052,18103,18155,18206,18248,18293,18331,18354,18381,18399
"346",5,"V  Valparaíso",54,"Petorca",5405,"Zapallar",5865,5902,5937,5958,5986,6008,6035,6069,6093,6112,6141,6166,6185,6205,6223,6244,6256,6268,6274
